Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2015,1.6,176277,37000
E,Jeddah,Mercedes,Automatic,Gulf Arabic,Full,1993,3.2,217396,35000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2007,5.3,374000,32000
Sierra,Dammam,Generalis Motors,Automatic,Saudi,Standard,2018,5.3,61000,145000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2014,2.4,183000,34000
Charger,Dammam,Dodge,Automatic,Other,Full,2015,5.7,119000,105000
Rio,Riyadh,Kia,Automatic,Saudi,Semi Full,2018,2.0,85000,30000
Explorer,Riyadh,Ford,Automatic,Other,Semi Full,2006,3.5,405000,18000
Camry,Dammam,Toyota,Automatic,Gulf Arabic,Full,2016,2.6,183000,70000
ML,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2013,5.5,140000,120000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.0,22999,53000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,348000,50000
LX,Makkah,Lexus,Automatic,Saudi,Full,2012,5.7,309,150000
E,Riyadh,Mercedes,Automatic,Other,Standard,2019,2.0,28000,185000
Datsun,Aseer,Nissan,Manual,Saudi,Full,2015,2.4,200000,40000
Land Cruiser,Al-Baha,Toyota,Automatic,Gulf Arabic,Full,2006,4.6,285,65000
G,Riyadh,Mercedes,Automatic,Saudi,Full,2015,8.8,213000,240000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,102109,35000
LX,Dammam,Lexus,Automatic,Saudi,Full,2014,5.7,160000,188000
Marquis,Qassim,Ford,Automatic,Other,Semi Full,2010,5.8,500,20000
Sentra,Riyadh,Nissan,Automatic,Saudi,Standard,2016,1.6,81000,38000
Other,Riyadh,Other,Manual,Saudi,Standard,2013,1.3,35700,16000
Accord,Riyadh,Honda,Automatic,Saudi,Full,2016,3.5,350000,50000
CX9,Qassim,Mazda,Automatic,Gulf Arabic,Full,2015,2.4,138020,58000
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2016,2.5,130000,55000
The 3,Khobar,BMW,Automatic,Saudi,Full,2017,1.4,110000,75000
Senta fe,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,149000,47000
Acadia,Riyadh,Generalis Motors,Automatic,Gulf Arabic,Full,2012,3.6,220000,40000
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2010,2.7,573000,37000
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Standard,2005,3.5,300000,12000
Camry,Al-Baha,Toyota,Automatic,Gulf Arabic,Standard,2014,2.2,80250,55000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,76000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2015,5.7,153281,171500
Other,Dammam,Other,Automatic,Other,Full,2016,3.7,99000,100000
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2018,2.7,111000,63000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2009,5.4,360,32000
Altima,Jeddah,Nissan,Automatic,Saudi,Standard,2017,2.5,88000,37000
Prado,Jeddah,Toyota,Automatic,Saudi,Full,2020,4.0,8000,174000
Sierra,Taef,Generalis Motors,Automatic,Gulf Arabic,Semi Full,2000,1.5,400000,10000
6,Jeddah,Mazda,Automatic,Saudi,Semi Full,2017,2.5,106000,56000
IS,Riyadh,Lexus,Automatic,Saudi,Semi Full,2018,3.5,131000,166000
Suburban,Makkah,Generalis Motors,Automatic,Saudi,Semi Full,2011,4.0,289,36000
Land Cruiser,Makkah,Toyota,Manual,Saudi,Full,1999,4.7,238,40000
S,Jeddah,Mercedes,Automatic,Saudi,Full,2017,3.0,53000,290000
Sierra,Al-Ahsa,Generalis Motors,Automatic,Saudi,Standard,2011,5.3,272000,41000
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2019,4.6,53000,255000
S,Al-Medina,Mercedes,Automatic,Gulf Arabic,Full,2012,3.3,85000,110000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2016,3.8,144624,47000
The 7,Jeddah,BMW,Automatic,Saudi,Full,2014,6.0,182000,90000
Taurus,Al-Ahsa,Ford,Automatic,Other,Semi Full,2019,3.5,108000,88000
S,Riyadh,Mercedes,Automatic,Other,Full,2017,3.0,26000,245000
3,Dammam,Mazda,Automatic,Gulf Arabic,Standard,2016,1.6,165000,45000
Avalon,Al-Jouf,Toyota,Automatic,Other,Full,2008,3.6,201,30000
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,167000,29000
C,Riyadh,Mercedes,Automatic,Gulf Arabic,Semi Full,2015,2.0,173000,108000
Land Cruiser Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Full,2016,4.0,243038,93500
FJ,Qassim,Toyota,Automatic,Saudi,Full,2015,2.7,230000,85000
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2016,1.0,75000,62000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2016,5.3,131929,116500
Other,Riyadh,Jeep,Automatic,Saudi,Full,2011,2.4,245000,24000
Other,Khobar,BMW,Automatic,Saudi,Full,2014,3.0,206000,98000
Furniture,Dammam,Toyota,Automatic,Saudi,Semi Full,2018,2.7,224000,85000
LS,Riyadh,Lexus,Automatic,Other,Semi Full,2015,4.6,51000,200000
Impala,Riyadh,Generalis Motors,Automatic,Gulf Arabic,Full,2016,3.5,152000,70000
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2016,5.3,112000,110000
Explorer,Al-Medina,Ford,Automatic,Saudi,Standard,2010,6.0,244,17500
LS,Khobar,Lexus,Automatic,Saudi,Full,2015,4.6,103000,170000
Innova,Dammam,Toyota,Automatic,Saudi,Standard,2020,2.7,50000,83000
Other,Jubail,Kia,Automatic,Saudi,Standard,2021,2.0,61804,1630
ES,Jeddah,Lexus,Automatic,Gulf Arabic,Full,2016,3.5,86000,125000
Accord,Abha,Honda,Automatic,Saudi,Standard,2008,2.4,197000,20000
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2011,4.6,211000,115000
Corolla,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2020,1.6,66796,1872
Prado,Al-Ahsa,Toyota,Automatic,Gulf Arabic,Full,2017,4.0,140000,125000
Taurus,Riyadh,Ford,Automatic,Other,Full,2016,3.5,91815,86000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.0,18197,53000
Eado,Riyadh,Changan,Automatic,Saudi,Standard,2020,1.6,87235,42500
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2019,2.4,72000,60000
Land Cruiser,Riyadh,Toyota,Manual,Saudi,Full,2015,4.0,136000,140000
Impala,Khobar,Generalis Motors,Automatic,Gulf Arabic,Standard,2014,3.6,255000,43000
Taurus,Makkah,Ford,Automatic,Saudi,Semi Full,2016,2.0,148000,58000
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,47286,49000
Other,Riyadh,Changan,Automatic,Saudi,Full,2020,1.4,64355,60000
Suburban,Dammam,Generalis Motors,Automatic,Saudi,Standard,2016,5.3,174000,103000
Accord,Dammam,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,129000,68000
Cadenza,Riyadh,Kia,Automatic,Saudi,Standard,2017,3.0,175000,50000
Other,Qassim,Nissan,Automatic,Saudi,Full,2013,4.0,95000,61000
LS,Dammam,Lexus,Automatic,Saudi,Full,2015,4.6,132000,165000
Caprice,Jeddah,Generalis Motors,Automatic,Saudi,Standard,2009,3.5,320000,27000
6,Al-Ahsa,Mazda,Automatic,Saudi,Standard,2006,2.5,256000,13000
Land Cruiser,Al-Medina,Toyota,Automatic,Saudi,Full,2006,4.5,311100,63000
Other,Jeddah,Other,Automatic,Saudi,Full,2014,3.7,32000,65000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.4,111,22000
Pajero,Al-Ahsa,Mitsubishi,Automatic,Saudi,Semi Full,2015,3.5,99000,55000
Picanto,Al-Medina,Kia,Automatic,Saudi,Standard,2015,1.0,133000,18500
Taurus,Dammam,Ford,Automatic,Saudi,Semi Full,2013,3.5,177000,70000
Corolla,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,1.6,86500,48000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,69000,55000
FJ,Dammam,Toyota,Automatic,Saudi,Full,2016,4.0,208000,100000
Marquis,Tabouk,Ford,Automatic,Other,Standard,2007,4.6,260000,18000
Other,Riyadh,Other,Automatic,Gulf Arabic,Full,2016,2.0,111000,65000
Tahoe,Jeddah,Generalis Motors,Automatic,Saudi,Full,2010,5.3,250000,55000
CX3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,2.0,49000,55000
CS75,Jeddah,Changan,Automatic,Saudi,Standard,2021,1.6,8000,62000
Suburban,Aseer,Generalis Motors,Automatic,Saudi,Semi Full,1990,3.5,140000,5000
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.4,135000,27500
Maxima,Dammam,Nissan,Automatic,Other,Semi Full,2011,3.5,34000,20000
Taurus,Al-Baha,Ford,Automatic,Other,Standard,2018,3.5,88000,78000
The 7,Riyadh,BMW,Automatic,Saudi,Full,2010,2.0,205,45000
Other,Dammam,Generalis Motors,Manual,Saudi,Standard,2013,1.4,196000,28000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.6,112000,32000
Silverado,Dammam,Generalis Motors,Automatic,Saudi,Semi Full,2014,5.3,213000,70000
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2019,1.4,92000,36000
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2016,5.4,98000,72000
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2021,2.7,16444,104500
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,98000,105000
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,127000,93000
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,2.5,237171,50000
F150,Dammam,Ford,Automatic,Saudi,Semi Full,2017,5.0,53000,140000
Ciocca,Najran,Toyota,Automatic,Saudi,Semi Full,2016,5.7,117000,140000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,88564,26800
Suburban,Riyadh,Generalis Motors,Automatic,Other,Standard,2004,1.1,212,14000
Other,Khobar,Other,Automatic,Saudi,Full,2021,1.5,6000,57900
CX9,Jeddah,Mazda,Automatic,Saudi,Full,2015,2.5,115000,82000
Corolla,Makkah,Toyota,Automatic,Saudi,Semi Full,2020,1.1,26000,1086
Edge,Riyadh,Ford,Automatic,Gulf Arabic,Standard,2017,3.5,82000,80000
Elantra,Jeddah,Hyundai,Automatic,Saudi,Standard,2020,2.0,10000,63000
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2017,1.6,72000,37500
Other,Al-Medina,Mitsubishi,Automatic,Saudi,Standard,2018,1.2,68000,26500
Range Rover,Dammam,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,56500,320000
Other,Jeddah,Other,Automatic,Saudi,Full,2021,1.5,2800,57000
Vego,Riyadh,Ford,Automatic,Saudi,Full,2017,1.4,93000,26000
Pajero,Jeddah,Mitsubishi,Automatic,Gulf Arabic,Full,2017,3.8,48000,85000
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2018,5.7,42000,241000
Hilux,Jazan,Toyota,Manual,Saudi,Full,2015,2.7,234000,56000
Other,Dammam,Other,Automatic,Saudi,Full,2010,6.0,71000,180000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,63000,60000
Fluence,Dammam,Renault,Automatic,Saudi,Semi Full,2015,1.6,91000,20000
Other,Riyadh,Kia,Automatic,Saudi,Standard,2020,1.4,5300,37500
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2006,2.4,240000,20000
Caprice,Jeddah,Generalis Motors,Automatic,Saudi,Full,2009,6.2,200,70000
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,97000,98000
3,Al-Medina,Mazda,Automatic,Saudi,Standard,2019,1.6,53000,46500
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,47000,2314
Optima,Qassim,Kia,Automatic,Saudi,Standard,2019,2.0,91000,1440
Other,Al-Baha,Other,Automatic,Saudi,Semi Full,2021,1.5,3400,42000
Yukon,Aseer,Generalis Motors,Automatic,Saudi,Full,2001,5.3,28000,15000
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2015,4.0,259880,89000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.6,137000,29000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,110000,27000
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Full,2017,3.5,81000,72000
Sierra,Riyadh,Generalis Motors,Automatic,Saudi,Full,2017,6.2,124418,120000
Elantra,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,1.6,144000,45000
Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,109000,31000
Marquis,Riyadh,Ford,Automatic,Other,Semi Full,2011,4.6,300000,22000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.5,179622,48000
Other,Dammam,Other,Manual,Saudi,Standard,2017,1.6,80000,30000
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2015,1.0,190000,98000
Fluence,Riyadh,Renault,Automatic,Saudi,Standard,2015,1.6,121913,29000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2015,1.2,150,20000
D-MAX,Dammam,Other,Manual,Saudi,Standard,2014,2.5,288000,42000
The 7,Riyadh,BMW,Automatic,Saudi,Full,2004,3.6,297000,11500
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2012,2.4,15000,58000
CX9,Dammam,Mazda,Automatic,Gulf Arabic,Full,2016,3.7,169300,65000
Civic,Jeddah,Honda,Automatic,Saudi,Standard,2017,1.6,122,43000
Camry,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,2010,2.5,145,25000
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2020,5.3,19348,186500
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Full,2006,5.3,377000,20000
Previa,Riyadh,Toyota,Automatic,Other,Standard,2009,1.7,400000,15000
Edge,Makkah,Ford,Automatic,Saudi,Full,2013,3.5,317125,32000
Other,Riyadh,Kia,Automatic,Saudi,Standard,2015,2.0,147,32000
Edge,Jeddah,Ford,Automatic,Saudi,Full,2011,3.5,70000,60000
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.6,79882,50500
Other,Yanbu,Kia,Automatic,Saudi,Semi Full,2009,6.0,216000,16000
Tahoe,Jeddah,Generalis Motors,Automatic,Saudi,Semi Full,2013,5.3,211257,60000
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,75000,125000
Azera,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018,3.5,1100000,80000
Explorer,Riyadh,Ford,Automatic,Other,Standard,2016,2.5,83000,86000
Tahoe,Al-Ahsa,Generalis Motors,Automatic,Other,Semi Full,2008,5.3,247000,42500
Hilux,Abha,Toyota,Manual,Saudi,Full,2015,2.7,157000,60000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,88000,34000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2018,2.0,78508,65000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.4,220000,43000
Camry,Al-Baha,Toyota,Automatic,Saudi,Full,2017,2.5,31000,75000
Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2011,4.6,434,85000
Fusion,Riyadh,Ford,Automatic,Saudi,Full,2015,2.5,200000,49000
Cerato,Dammam,Kia,Automatic,Saudi,Standard,2016,1.6,74000,36000
RX5,Riyadh,Other,Automatic,Saudi,Full,2018,3.0,109000,49000
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2018,2.7,94458,91500
